College,Branch,Year,University,Category,Percentile
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Mechanical Engineering,2023,Mumbai University,TFWS,76.56
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Mechanical Engineering,2023,Mumbai University,EWS,55.89
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Mechanical Engineering,2023,Mumbai University,GOBCS,43.2
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Elecrical Engineering,2023,Mumbai University,GOPENS,56.81
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Elecrical Engineering,2023,Mumbai University,TFWS,80.62
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Elecrical Engineering,2023,Mumbai University,EWS,73.24
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Elecrical Engineering,2023,Mumbai University,GOBCS,54.35
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Computer Engineering,2023,Mumbai University,GOPENS,92.86
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Computer Engineering,2023,Mumbai University,TFWS,95.14
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Computer Engineering,2023,Mumbai University,EWS,93.12
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Computer Engineering,2023,Mumbai University,GOBCS,91.4
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Information Technology ,2023,Mumbai University,GOPENS,91.18
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Information Technology ,2023,Mumbai University,TFWS,94.04
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Information Technology ,2023,Mumbai University,EWS,91.25
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Information Technology ,2023,Mumbai University,GOBCS,90.45
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Mechanical Engineering,2023,Mumbai University,GOPENS,51.93
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Mechanical Engineering,2023,Mumbai University,TFWS,63.99
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Mechanical Engineering,2023,Mumbai University,EWS,54.12
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Mechanical Engineering,2023,Mumbai University,GOBCS,48.56
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Elecrical Engineering,2023,Mumbai University,GOPENS,69.36
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Elecrical Engineering,2023,Mumbai University,TFWS,75.35
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Elecrical Engineering,2023,Mumbai University,EWS,70.46
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Elecrical Engineering,2023,Mumbai University,GOBCS,97.41
"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Computer Engineering,2023,Mumbai University,GOPENS,96.77
"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Computer Engineering,2023,Mumbai University,TFWS,97.51
"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Computer Engineering,2023,Mumbai University,EWS,96.53
"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Computer Engineering,2023,Mumbai University,GOBCS,94.89
"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Information Technology ,2023,Mumbai University,GOPENS,92.62
"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Information Technology ,2023,Mumbai University,TFWS,93.91
"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Information Technology ,2023,Mumbai University,EWS,92.34
"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Information Technology ,2023,Mumbai University,GOBCS,89.09
"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Mechanical Engineering,2023,Mumbai University,GOPENS,88.78
"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Mechanical Engineering,2023,Mumbai University,TFWS,85.72
"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Mechanical Engineering,2023,Mumbai University,EWS,83.44
"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Mechanical Engineering,2023,Mumbai University,GOBCS,80.54
"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Elecrical Engineering,2023,Mumbai University,GOPENS,88.6
"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Elecrical Engineering,2023,Mumbai University,TFWS,89.12
"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Elecrical Engineering,2023,Mumbai University,EWS,87.48
"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Elecrical Engineering,2023,Mumbai University,GOBCS,86.94
"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Computer Engineering,2023,Mumbai University,GOPENS,96.77
"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Computer Engineering,2023,Mumbai University,TFWS,97.51
"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Computer Engineering,2023,Mumbai University,EWS,90.12
"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Computer Engineering,2023,Mumbai University,GOBCS,96.53
"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Information Technology ,2023,Mumbai University,GOPENS,96.01
"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Information Technology ,2023,Mumbai University,TFWS,96.3
"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Information Technology ,2023,Mumbai University,EWS,80.87
"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Information Technology ,2023,Mumbai University,GOBCS,91.9
"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Mechanical Engineering,2023,Mumbai University,GOPENS,88.78
"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Mechanical Engineering,2023,Mumbai University,TFWS,85.72
